Title,Year,Type,Released,Runtime(in mins),Genre,Director,Language,Country,Production,Awards,Nominations,Wins,IMDB Rating,Rotten Tomatoes,Metacritic,Metascore,imdbVotes,BoxOffice,Multigenre,Multilanguage,Multicompany,Multicountry
Robert's Movie,1992,movie,06 Mar 1992,N/A,N/A,Canan Gerede,N/A,N/A,N/A,N/A,0,0,6.1,N/A,N,N/A,23,N/A,No,No,No,No
Movie Madness,1992,movie,N/A,80,Comedy,Steve Sayre,English,United States,N/A,N/A,0,0,7.9,N/A,N,N/A,15,N/A,No,No,No,No
Home Movie,1992,movie,N/A,93,"Comedy, Drama",Fred Frame,English,Canada,N/A,N/A,0,0,7.0,N/A,N,N/A,5,N/A,Yes,No,No,No
Angelina: The Movie,1992,movie,15 Jul 1992,99,Drama,Romy Suzara,"Tagalog, Filipino",Philippines,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,Yes,No,No
Patlabor 2: The Movie,1993,movie,05 Nov 1993,113,"Animation, Action, Drama","Mamoru Oshii, Mizuho Nishikubo","Japanese, English",Japan,N/A,1 win,0,1,7.5,N/A,N,N/A,"4,722",N/A,Yes,Yes,No,No
Sailor Moon R: The Movie: The Promise of the Rose,1993,movie,08 Feb 2000,61,"Animation, Action, Comedy",Kunihiko Ikuhara,"English, Japanese",Japan,N/A,1 win & 1 nomination,1,1,7.7,N/A,N,N/A,"2,938","$619,902",Yes,Yes,No,No
Yu Yu Hakusho: The Movie,1993,movie,09 Jun 1998,30,"Animation, Short, Action","Noriyuki Abe, Akihiro Enomoto, Atsuko Inoue",Japanese,Japan,N/A,N/A,0,0,6.2,N/A,N,N/A,530,N/A,Yes,No,No,No
Lucy and Desi: A Home Movie,1993,movie,14 Feb 1993,108,"Documentary, Comedy, Music",N/A,English,United States,N/A,Won 1 Primetime Emmy. 1 win total,0,1,8.1,N/A,N,N/A,251,N/A,Yes,No,No,No
1993 MTV Movie Awards,1993,movie,13 Jul 1993,N/A,Family,"Bruce Gowers, Troy Miller",English,United States,N/A,2 nominations,2,0,3.8,N/A,N,N/A,228,N/A,No,No,No,No
The Scary Movie,1993,movie,N/A,7,"Short, Horror",Peggy Ahwesh,English,United States,N/A,N/A,0,0,5.5,N/A,N,N/A,71,N/A,Yes,No,No,No
Orkney Snork Nie! 2 (nog 'n movie),1993,movie,24 Dec 1993,97,Comedy,Willie Esterhuizen,"Afrikaans, English",South Africa,N/A,N/A,0,0,7.2,N/A,N,N/A,50,N/A,No,Yes,No,No
Home Along da Riles da Movie,1993,movie,26 Aug 1993,130,"Action, Comedy, Crime",Johnny Manahan,"Filipino, Tagalog, English",Philippines,N/A,N/A,0,0,7.4,N/A,N,N/A,47,N/A,Yes,Yes,No,No
The Legend of an Erotic Movie Star,1993,movie,14 Apr 1993,N/A,Drama,Bong Siu,"Cantonese, Mandarin",Hong Kong,N/A,N/A,0,0,5.2,N/A,N,N/A,30,N/A,No,Yes,No,No
The Clever Dog Sonya. Second Movie,1993,movie,N/A,6,"Animation, Short",Vadim Medzhibovskiy,Russian,Russia,N/A,N/A,0,0,5.6,N/A,N,N/A,20,N/A,Yes,No,No,No
It's Pat: The Movie,1994,movie,26 Aug 1994,77,Comedy,Adam Bernstein,"English, Japanese",United States,N/A,1 win & 7 nominations,7,1,2.8,0%,N,N/A,"10,563","$60,822",No,Yes,No,No
Street Fighter II: The Animated Movie,1994,movie,16 Jan 1996,102,"Animation, Action, Adventure",Gisaburô Sugii,Japanese,Japan,N/A,N/A,0,0,7.2,80%,N,N/A,"10,128",N/A,Yes,No,No,No
Sailor Moon S: The Movie - Hearts in Ice,1994,movie,23 May 2000,60,"Animation, Action, Comedy",Hiroki Shibata,"Japanese, English",Japan,N/A,N/A,0,0,7.6,N/A,N,N/A,"2,309","$167,849",Yes,Yes,No,No
Slam Dunk: The Movie,1994,movie,12 Mar 1994,30,"Animation, Short, Drama",Nobutaka Nishizawa,Japanese,Japan,N/A,N/A,0,0,7.6,N/A,N,N/A,419,N/A,Yes,No,No,No
Movie Days,1994,movie,30 Jun 1994,82,Drama,Friðrik Þór Friðriksson,Icelandic,"Iceland, Germany, Denmark",N/A,2 wins & 1 nomination,1,2,6.5,N/A,N,N/A,359,N/A,No,No,No,Yes
Fredrikssons fabrikk - The movie,1994,movie,26 Dec 1994,92,Comedy,Bo Hermansson,"Norwegian, Swedish",Norway,N/A,N/A,0,0,4.9,N/A,N,N/A,340,N/A,No,Yes,No,No
Murder or Memory: A Moment of Truth Movie,1994,movie,12 Dec 1994,105,"Crime, Drama, Thriller",Christopher Leitch,English,United States,N/A,N/A,0,0,5.9,N/A,N,N/A,142,N/A,Yes,No,No,No
Fake Movie Page,1994,movie,N/A,N/A,N/A,Saji,Malayalam,India,N/A,N/A,0,0,6.1,N/A,N,N/A,73,N/A,No,No,No,No
Amba - First Movie,1994,movie,N/A,8,"Animation, Short, Sci-Fi",Gennadiy Tishchenko,Russian,Russia,N/A,N/A,0,0,N/A,N/A,N,N/A,69,N/A,Yes,No,No,No
A Goofy Movie,1995,movie,07 Apr 1995,78,"Animation, Adventure, Comedy",Kevin Lima,English,"United States, Australia, France, Canada, Spain",N/A,5 nominations,5,0,6.9,59%,53,53,"64,386","$35,348,597",Yes,No,No,Yes
The Brady Bunch Movie,1995,movie,17 Feb 1995,90,Comedy,Betty Thomas,English,United States,N/A,3 nominations,3,0,6.2,64%,54,54,"24,875","$46,576,136",No,No,No,No
Trinity and Beyond: The Atomic Bomb Movie,1995,movie,29 Sep 1995,92,"Documentary, History",Peter Kuran,English,USA,N/A,1 win & 1 nomination.,1,1,7.9,N/A,N,N/A,"3,267",N/A,Yes,No,No,No
Sailor Moon SuperS: The Movie: Black Dream Hole,1995,movie,23 May 2000,75,"Animation, Action, Comedy",Hiroki Shibata,"English, Japanese",Japan,N/A,N/A,0,0,7.4,N/A,N,N/A,"1,863",N/A,Yes,Yes,No,No
Gumby: The Movie,1995,movie,01 Dec 1995,90,"Animation, Adventure, Comedy",Art Clokey,English,United States,N/A,N/A,0,0,6.0,20%,N,N/A,"1,074","$57,100",Yes,No,No,No
Macross Plus Movie Edition,1995,movie,N/A,115,"Animation, Action, Adventure","Shôji Kawamori, Yûji Moriyama, Shin'ichirô Watanabe",Japanese,Japan,N/A,N/A,0,0,7.5,N/A,N,N/A,712,N/A,Yes,No,No,No
Wigstock: The Movie,1995,movie,09 Jun 1995,85,Documentary,Barry Shils,English,"Germany, United States",N/A,1 nomination,1,0,6.9,80%,N,N/A,697,"$686,152",No,No,No,Yes
Murder Was the Case: The Movie,1995,movie,14 Feb 1995,18,"Short, Comedy, Crime, Drama, Horror, Music","Dr. Dre, Fab 5 Freddy, F. Gary Gray, Ricky Harris",English,USA,N/A,N/A,0,0,6.0,N/A,N,N/A,554,N/A,Yes,No,No,No
Monster Mash: The Movie,1995,movie,14 Nov 1995,82,"Comedy, Horror, Musical","Joel Cohen, Alec Sokolow",English,United States,N/A,N/A,0,0,3.9,N/A,N,N/A,265,N/A,Yes,No,No,No
Mystery Science Theater 3000: The Movie,1996,movie,19 Apr 1996,73,"Comedy, Drama, Fantasy",Jim Mallon,English,United States,N/A,1 nomination,1,0,7.2,80%,65,65,"19,021","$1,007,306",Yes,No,No,No
Doctor Who: The Movie,1996,movie,14 May 1996,89,"Adventure, Drama, Sci-Fi",Geoffrey Sax,English,"United States, United Kingdom",N/A,1 win & 1 nomination,1,1,6.3,N/A,N,N/A,"10,736",N/A,Yes,No,No,Yes
Tenchi the Movie - Tenchi Muyo in Love,1996,movie,16 Aug 1996,95,"Animation, Adventure, Comedy",Hiroshi Negishi,Japanese,Japan,N/A,N/A,0,0,7.1,N/A,N,N/A,"1,498",N/A,Yes,No,No,No
Black Jack: The Movie,1996,movie,24 Apr 2001,90,"Animation, Drama, Thriller",Osamu Dezaki,Japanese,Japan,N/A,1 win,0,1,6.7,N/A,N,N/A,"1,135",N/A,Yes,No,No,No
A Secret Between Friends: A Moment of Truth Movie,1996,movie,19 Feb 1996,96,Drama,James A. Contner,"English, French","United States, Canada",N/A,N/A,0,0,6.3,N/A,N,N/A,"1,048",N/A,No,Yes,No,Yes
Hugo: The Movie Star,1996,movie,20 Dec 1996,68,"Animation, Family, Musical","Stefan Fjeldmark, Jørgen Lerdam, Flemming Quist Møller",Danish,"Denmark, Sweden, Norway, Finland",N/A,N/A,0,0,5.4,N/A,N,N/A,830,N/A,Yes,No,No,Yes
Hollywood: The Movie,1996,movie,N/A,98,"Comedy, Fantasy",Joseph Allen,English,USA,N/A,N/A,0,0,3.2,N/A,N,N/A,695,N/A,Yes,No,No,No
Mighty Ducks the Movie: The First Face-Off,1996,movie,08 Apr 1997,66,"Animation, Action, Comedy, Family, Sci-Fi","Joe Barruso, Doug Murphy, Blair Peters, Baekyup Sung",English,USA,N/A,N/A,0,0,5.9,N/A,N,N/A,598,N/A,Yes,No,No,No
Freebird: The Movie,1996,movie,30 Aug 1996,101,Documentary,Jeff G. Waxman,English,United States,N/A,N/A,0,0,8.2,N/A,N,N/A,400,"$30,549",No,No,No,No
The Batman Superman Movie: World's Finest,1997,movie,04 Oct 1997,64,"Animation, Action, Adventure",Toshihiko Masuda,English,United States,N/A,N/A,0,0,7.7,N/A,N,N/A,"10,200",N/A,Yes,No,No,No
Turbo: A Power Rangers Movie,1997,movie,28 Mar 1997,99,"Action, Adventure, Family","Shuki Levy, David Winning",English,"Japan, United States",N/A,1 nomination,1,0,3.7,16%,35,35,"10,047","$8,363,899",Yes,No,No,Yes
Rurouni Kenshin: The Movie,1997,movie,27 Mar 2001,90,"Animation, Action, Drama",Tsuji Hajiki,Japanese,Japan,N/A,N/A,0,0,7.3,N/A,N,N/A,"2,940",N/A,Yes,No,No,No
Tenchi the Movie 2: The Daughter of Darkness,1997,movie,31 Mar 1998,95,"Animation, Comedy, Fantasy",Satoshi Kimura,Japanese,Japan,N/A,N/A,0,0,6.8,N/A,N,N/A,740,N/A,Yes,No,No,No
The Wiggles Movie,1997,movie,16 Jan 1997,83,"Adventure, Comedy, Family",Dean Covell,English,"Australia, United States",N/A,N/A,0,0,6.3,N/A,N,N/A,543,N/A,Yes,No,No,Yes
Bimbo Movie Bash,1997,movie,24 Jun 1997,80,"Comedy, Horror, Sci-Fi","Mike Mendez, Dave Parker",English,United States,N/A,N/A,0,0,3.2,N/A,N,N/A,394,N/A,Yes,No,No,No
Bad Movie,1997,movie,02 Aug 1997,144,"Crime, Drama",Jang Sun-woo,Korean,South Korea,N/A,2 wins,0,2,6.4,N/A,N,N/A,296,N/A,Yes,No,No,No
Dibu: The Movie,1997,movie,10 Jul 1997,105,"Comedy, Family, Fantasy","Carlos Olivieri, Alejandro Stoessel",Spanish,Argentina,N/A,N/A,0,0,3.8,N/A,N,N/A,190,N/A,Yes,No,No,No
The Accident: A Moment of Truth Movie,1997,movie,15 Sep 1997,88,Drama,Chuck Bowman,English,"United States, Canada",N/A,1 win,0,1,5.7,N/A,N,N/A,186,N/A,No,No,No,Yes
Pokémon: The First Movie - Mewtwo Strikes Back,1998,movie,12 Nov 1999,96,"Animation, Action, Adventure",Kunihiko Yuyama,"Japanese, English",Japan,N/A,3 wins & 6 nominations,6,3,6.3,16%,35,35,"46,885","$85,744,662",Yes,Yes,No,No
The Rugrats Movie,1998,movie,20 Nov 1998,79,"Animation, Adventure, Comedy","Igor Kovalyov, Norton Virgien",English,"United States, United Kingdom, South Korea",N/A,2 wins & 6 nominations,6,2,5.9,59%,62,62,"21,050","$100,494,675",Yes,No,No,Yes
Rudolph the Red-Nosed Reindeer: The Movie,1998,movie,16 Oct 1998,83,"Animation, Adventure, Family",William R. Kowalchuk Jr.,English,"United States, Canada, Hong Kong",N/A,2 nominations,2,0,5.8,40%,N,N/A,"3,220","$113,484",Yes,No,No,Yes
Gundam Wing: The Movie - Endless Waltz,1998,movie,10 Nov 2000,90,"Animation, Action, Drama","Yasunao Aoki, Nana Harada",English,Japan,N/A,N/A,0,0,7.7,N/A,N,N/A,"2,699",N/A,Yes,No,No,No
Hercules and Xena - The Animated Movie: The Battle for Mount Olympus,1998,movie,06 Jan 1998,80,"Animation, Action, Adventure, Family, Fantasy",Lynne Naylor,English,USA,N/A,1 nomination.,1,0,5.6,N/A,N,N/A,848,N/A,Yes,No,No,No
Beach Movie,1998,movie,25 Nov 1998,90,Comedy,John Quinn,English,United States,N/A,N/A,0,0,3.1,N/A,N,N/A,432,N/A,No,No,No,No
Broken Silence: A Moment of Truth Movie,1998,movie,07 Sep 1998,87,Drama,Joseph L. Scanlan,English,United States,N/A,N/A,0,0,5.9,N/A,N,N/A,333,N/A,No,No,No,No
Shattered Hearts: A Moment of Truth Movie,1998,movie,07 Jan 1998,89,"Drama, Romance",James A. Contner,English,United States,N/A,N/A,0,0,5.8,N/A,N,N/A,267,N/A,Yes,No,No,No
The Cowboy and the Movie Star,1998,movie,07 Jun 1998,100,"Drama, Romance",Mark Griffiths,English,United States,N/A,N/A,0,0,6.1,N/A,N,N/A,261,N/A,Yes,No,No,No
Black Spring Break: The Movie,1998,movie,N/A,90,Comedy,Marlon Parry,English,United States,N/A,N/A,0,0,2.0,N/A,N,N/A,199,N/A,No,No,No,No
Pokémon the Movie 2000,1999,movie,21 Jul 2000,99,"Animation, Action, Adventure",Kunihiko Yuyama,Japanese,"Japan, United States",N/A,2 nominations,2,0,6.1,N/A,28,28,"24,323","$43,758,684",Yes,No,No,Yes
American Movie,1999,movie,13 Apr 2000,107,"Documentary, Comedy",Chris Smith,English,United States,N/A,6 wins & 6 nominations,6,6,7.8,94%,84,84,"19,889","$1,165,795",Yes,No,No,No
Batman Beyond: The Movie,1999,movie,10 Jan 1999,41,"Animation, Action, Sci-Fi","Curt Geda, Butch Lukic, Dan Riba",English,United States,N/A,N/A,0,0,7.7,N/A,N,N/A,"6,670",N/A,Yes,No,No,No
Doug's 1st Movie,1999,movie,26 Mar 1999,77,"Animation, Adventure, Comedy",Maurice Joyce,English,"United States, South Korea",N/A,1 nomination,1,0,4.9,28%,N,N/A,"3,582","$19,440,089",Yes,No,No,Yes
The Underground Comedy Movie,1999,movie,14 May 1999,88,Comedy,Vince Offer,English,United States,N/A,1 win,0,1,2.0,33%,N,N/A,"2,766",$856,No,No,No,No
Revolutionary Girl Utena: The Movie,1999,movie,14 Aug 1999,100,"Animation, Action, Adventure","Kunihiko Ikuhara, Shingo Kaneko, Katsushi Sakurabi","English, Japanese",Japan,N/A,N/A,0,0,7.2,N/A,N,N/A,"1,867",N/A,Yes,Yes,No,No
Cardcaptor Sakura: The Movie,1999,movie,01 Jan 2000,80,"Animation, Adventure, Comedy","Morio Asaka, Terry Klassen",Japanese,"Japan, United States, Canada",N/A,N/A,0,0,7.2,N/A,N,N/A,"1,858",N/A,Yes,No,No,Yes
Soccer Dog: The Movie,1999,movie,23 Jul 1999,98,"Comedy, Family, Sport",Tony Giglio,English,United States,N/A,N/A,0,0,3.1,N/A,N,N/A,"1,765",N/A,Yes,No,No,No
GTO: The Movie,1999,movie,18 Dec 1999,108,"Comedy, Drama",Masayuki Suzuki,Japanese,Japan,N/A,N/A,0,0,6.6,N/A,N,N/A,"1,197",N/A,Yes,No,No,No
Dr. Quinn Medicine Woman: The Movie,1999,movie,22 May 1999,86,"Drama, Western",James Keach,English,United States,N/A,Nominated for 1 Primetime Emmy. 2 nominations total,2,0,6.7,N/A,N,N/A,"1,061",N/A,Yes,No,No,No
Scary Movie,2000,movie,07 Jul 2000,88,Comedy,Keenen Ivory Wayans,English,United States,N/A,7 wins & 6 nominations,6,7,6.3,51%,48,48,"294,356","$157,019,771",No,No,No,No
The Tigger Movie,2000,movie,11 Feb 2000,77,"Animation, Adventure, Comedy",Jun Falkenstein,English,"Japan, United States",N/A,4 nominations,4,0,6.3,62%,53,53,"20,662","$45,554,533",Yes,No,No,Yes
Pokémon 3 the Movie: Spell of the Unown,2000,movie,06 Apr 2001,93,"Animation, Action, Adventure",Kunihiko Yuyama,Japanese,Japan,N/A,N/A,0,0,5.8,N/A,N,N/A,"15,531","$17,052,128",Yes,No,No,No
Left Behind: The Movie,2000,movie,02 Feb 2001,96,"Action, Drama, Fantasy",Vic Sarin,English,Canada,N/A,3 nominations,3,0,4.3,16%,22,22,"10,721","$4,224,065",Yes,No,No,No
An Extremely Goofy Movie,2000,movie,29 Feb 2000,79,"Animation, Comedy, Family, Sport",Douglas McCarthy,English,"USA, Australia",N/A,2 wins & 1 nomination.,1,2,6.4,63%,N,N/A,"10,662",N/A,Yes,No,No,Yes
One Piece: The Movie,2000,movie,04 Mar 2000,51,"Animation, Action, Adventure",Junji Shimizu,Japanese,Japan,N/A,N/A,0,0,6.9,N/A,N,N/A,"8,836",N/A,Yes,No,No,No
Digimon: The Movie,2000,movie,06 Oct 2000,82,"Animation, Action, Adventure","Bob Buchholz, Mamoru Hosoda, Jeff Nimoy",English,"Japan, United States",N/A,1 win & 1 nomination,1,1,6.0,24%,20,20,"8,063","$9,631,153",Yes,No,No,Yes
Escaflowne: The Movie,2000,movie,24 Jun 2000,98,"Adventure, Animation, Drama","Kazuki Akane, Yoshiyuki Takei","English, Japanese",Japan,N/A,N/A,0,0,6.6,43%,50,50,"3,867","$94,060",Yes,Yes,No,No
Steal This Movie,2000,movie,28 Jun 2002,107,"Biography, Drama, Romance",Robert Greenwald,English,United States,N/A,2 nominations,2,0,6.3,51%,36,36,"2,422","$76,424",Yes,No,No,No
