Title,Year,Type,Released,Runtime(in mins),Genre,Director,Language,Country,Production,Awards,Nominations,Wins,IMDB Rating,Rotten Tomatoes,Metacritic,Metascore,imdbVotes,BoxOffice,Multigenre,Multilanguage,Multicompany,Multicountry
The Dudesons Movie,2006,movie,31 Mar 2006,75,"Documentary, Action, Comedy","Jarno Laasala, Tuukka Tiensuu","Finnish, English",Finland,N/A,1 win,0,1,6.0,N/A,N,N/A,"3,385",N/A,Yes,Yes,No,No
Doraemon the Movie: Nobita's Dinosaur,2006,movie,14 Nov 2008,107,"Animation, Adventure, Comedy","Ayumu Watanabe, Kôzô Kusuba",Japanese,Japan,N/A,N/A,0,0,7.1,N/A,N,N/A,"1,684",N/A,Yes,No,No,No
Mushi-Shi: The Movie,2006,movie,24 Mar 2007,131,"Drama, Fantasy",Katsuhiro Ôtomo,Japanese,Japan,N/A,2 wins & 2 nominations,2,2,6.0,N/A,N,N/A,"1,196",N/A,Yes,No,No,No
The Simpsons Movie,2007,movie,27 Jul 2007,87,"Animation, Adventure, Comedy",David Silverman,English,"United States, North Korea, South Korea",N/A,Won 1 BAFTA Award5 wins & 34 nominations total,34,5,7.3,87%,80,80,"353,777","$183,135,014",Yes,No,No,Yes
Bee Movie,2007,movie,02 Nov 2007,91,"Animation, Adventure, Comedy","Simon J. Smith, Steve Hickner",English,"United States, Canada",N/A,1 win & 15 nominations,15,1,6.1,50%,54,54,"183,866","$126,631,277",Yes,No,No,Yes
Epic Movie,2007,movie,26 Jan 2007,86,"Adventure, Comedy, Fantasy","Jason Friedberg, Aaron Seltzer",English,United States,N/A,2 wins & 3 nominations,3,2,2.4,2%,17,17,"110,309","$39,739,367",Yes,No,No,No
Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,movie,13 Apr 2007,86,"Animation, Action, Adventure","Matt Maiellaro, Dave Willis",English,"United States, Canada",N/A,N/A,0,0,6.7,49%,54,54,"14,579","$5,520,368",Yes,No,No,Yes
Naruto Shippûden: The Movie,2007,movie,10 Nov 2009,94,"Animation, Action, Adventure",Hajime Kamegaki,Japanese,Japan,N/A,N/A,0,0,6.7,N/A,N,N/A,"5,002",N/A,Yes,No,No,No
Kill Buljo: The Movie,2007,movie,12 May 2009,93,"Action, Adventure, Comedy",Tommy Wirkola,Norwegian,Norway,Warner Home Video,1 win,0,1,5.7,N/A,N,N/A,"4,231",N/A,Yes,No,No,No
Bleach the Movie 2: The DiamondDust Rebellion,2007,movie,22 Dec 2007,92,"Animation, Action, Mystery",Noriyuki Abe,Japanese,Japan,N/A,N/A,0,0,7.0,N/A,N,N/A,"3,588",N/A,Yes,No,No,No
"Basic Sanitation, the Movie",2007,movie,20 Jul 2007,112,Comedy,Jorge Furtado,Portuguese,Brazil,N/A,3 wins & 14 nominations,14,3,7.4,N/A,N,N/A,"2,725",N/A,No,No,No,No
Super Sweet 16: The Movie,2007,movie,08 Jul 2007,86,Comedy,Neema Barnette,English,United States,N/A,N/A,0,0,3.4,N/A,N,N/A,"1,436",N/A,No,No,No,No
Doraemon the Movie: Nobita's New Great Adventure into the Underworld,2007,movie,10 Mar 2007,112,"Animation, Adventure, Comedy","Yukiyo Teramoto, Kôzô Kusuba",Japanese,Japan,N/A,N/A,0,0,7.1,N/A,N,N/A,"1,238",N/A,Yes,No,No,No
